epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.402,3.0708,3.17937,3.96246,0.52642,0.18971,0.01948,0.00686,2.6814,5.80288,3.65503,0.000414663,0.000414663,0.000414663
2,414.91,2.55769,2.43417,3.31141,0.63914,0.15402,0.08461,0.04227,2.01513,2.85382,3.08469,0.000556991,0.000556991,0.000556991
3,656.258,2.13154,2.09736,2.92878,0.73965,0.17016,0.16916,0.09325,1.64643,2.15235,2.76512,0.000424319,0.000424319,0.000424319
