epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.167,3.12988,2.81644,3.44937,0,0,0,0,0,0,0,0.000416167,0.000416167,0.000416167
2,846.562,2.35132,2.13409,2.54692,0,0,0,0,0,0,0,0.000557999,0.000557999,0.000557999
3,4220.61,2.12824,1.92309,2.27445,0.65347,0.25776,0.21999,0.09615,2.01504,1.83549,2.16059,0.00042483,0.00042483,0.00042483
