epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.95,2.9589,2.98968,3.86794,0.59357,0.14585,0.07558,0.02998,2.49677,2.87988,3.42512,0.000415665,0.000415665,0.000415665
2,737.207,2.14912,2.22242,3.03169,0.6075,0.188,0.12283,0.05651,1.81026,3.42146,2.81262,0.000557662,0.000557662,0.000557662
3,1160.39,1.79476,1.88999,2.67226,0.73629,0.21185,0.22584,0.13166,1.49065,1.91086,2.61954,0.000424659,0.000424659,0.000424659
